time,chlor_a
2022-01-01,0.11026483
2022-02-01,0.10836458
2022-03-01,0.10248019
2022-04-01,0.08680612
2022-05-01,0.060230672
2022-06-01,0.046779994
2022-07-01,0.0428691
2022-08-01,0.040203933
2022-09-01,0.04201919
2022-10-01,0.049936682
2022-11-01,0.062543444
2022-12-01,0.08678925
2023-01-01,0.09523276
2023-02-01,0.10507841
2023-03-01,0.0992618
2023-04-01,0.06429441
2023-05-01,0.056196913
2023-06-01,0.051801626
2023-07-01,0.045011465
2023-08-01,0.039442353
2023-09-01,0.04173122
2023-10-01,0.04329039
2023-11-01,0.07077415
2023-12-01,0.09259859
